,contact?,point_of_contact,lead_author,lead_aff,anchor_author,email_subject,email_message,pub_title,pub_url,published_by,funded_by,cites,pub_snippet,included_adipose,included_bone,included_cells,included_evboost,included_exosome,included_media,included_thesis,included_umbilical_cord
0,No,Juan Carlos Hernandez,Juan Carlos Hernandez,Departments of Molecular Microbiology and Immunology University of Southern California  Los Angeles California USA,Keigo Machida,We appreciate your Hepatology Communications paper,"Good Day Dr. Hernandez, I found your 2022 paper - ""Activated and nonactivated MSCs increase survival in humanized mice af... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ",Activated and nonactivated MSCs increase survival in humanized mice after acute liver injury through alcohol binging,https://doi.org/10.1002/hep4.1924,Hepatology Communications,National Center for Advancing Translational Sciences | National Cancer Institute | ,0,"... criteria[21] and performed by RoosterBio. RoosterBio performed additional tests for hUC- ... 
The hUC- MSCs were cultured and harvested following RoosterBio manufacturing protocols...",0,0,0,0,0,0,0,1
0,No,Seth H. Andrews,Seth H. Andrews,"School of Chemical, Materials and Biomedical Engineering University of Georgia Athens Georgia USA",Ross A. Marklein,We appreciate your Biotechnology and Bioengineering paper,"Good Day Dr. Andrews, I found your 2022 paper - ""Morphological landscapes from high content imaging reveal cytokine pri... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ",Morphological landscapes from high content imaging reveal cytokine priming strategies that enhance mesenchymal stromal cell immunosuppression,https://doi.org/10.1002/bit.27974,Biotechnology and Bioengineering,University of Georgia | Oak Ridge Institute for Science and Education | U.S. Food and Drug Administration | Biomedical Advanced Research and Development Authority | ,4,"... The RoosterBio cell-line RB9 was expanded using RoosterBio's recommended protocol, 
which consisted of seeding 10x106 MSCs in 12 T-225 flasks (3,704 cells/cm2) in RoosterBio ...",0,0,1,0,0,1,0,0
0,No,Ryan Hooper,Ryan Hooper,"Department of Biomedical Engineering, The Ohio State University, Columbus OH USA",David Dean,We appreciate your Procedia CIRP paper,"Good Day Dr. Hooper, I found your 2022 paper - ""Chaotic printing of hydrogel carriers for human mesenchymal stem cell ... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ",Chaotic printing of hydrogel carriers for human mesenchymal stem cell expansion,https://doi.org/10.1016/j.procir.2022.06.043,Procedia CIRP,The Ohio State University | ,0,"... The BM-hMSCs used in this study were purchased from RoosterBio (Frederick, MD) at 
passage 3. Cells were thawed and incubated at 37 oC and 5% CO2 in RoosterBio RoosterBasal-...",0,1,1,0,0,1,0,0
0,No,Brittany A. Gonzalez,Brittany A. Gonzalez,"Department of Biomedical Engineering, Florida International University, Miami FL USA",Sharan Ramaswamy,We appreciate your Bioengineering paper,"Good Day Dr. Gonzalez, I found your 2022 paper - ""Stem Cell-Secreted Allogeneic Elastin-Rich Matrix with Subsequent Dece... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ",Stem Cell-Secreted Allogeneic Elastin-Rich Matrix with Subsequent Decellularization for the Treatment of Critical Valve Diseases in the Young,https://doi.org/10.3390/bioengineering9100587,Bioengineering,Florida Heart Research Foundation | ,0,"... were identically cultured and seeded onto PSIS bio-scaffold strips (18 mm x 10 mm x 1 
mm; n = 12; 5 x 10 6 cells per scaffold) but with the exclusion of the EV Boost reagent (RoosterBio...",0,1,0,1,1,0,0,0
0,No,Zhao Lin,Zhao Lin,"Department of Periodontics, School of Dentistry, Virginia Commonwealth University, Richmond VA USA",Shiekh Alam,We appreciate your Methods in Molecular Biology paper,"Good Day Dr. Lin, I found your 2022 paper - ""Extraction of Exosomes and Exosomal miRNA from Mesenchymal Stem Cells... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ",Extraction of Exosomes and Exosomal miRNA from Mesenchymal Stem Cells,https://doi.org/10.1007/978-1-0716-2128-8_25,Methods in Molecular Biology,Florida Heart Research Foundation | ,2,"... In our protocol, we use hBMSCs and culture medium from RoosterBio. These cells grow 
much fast in their proprietary expansion medium, with a cell population doubling time of ~24 h. ...",0,1,1,0,1,1,0,0
0,No,Danielle M. Wiese,Danielle M. Wiese,"Aurora BioSolutions Inc, Medicine Hat, Alberta, Canada",Lorena R. Braid,We appreciate your Frontiers in Immunology paper,"Good Day Dr. Wiese, I found your 2022 paper - ""Cytokine Activation Reveals Tissue-Imprinted Gene Profiles of Mesenchy... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ",Cytokine Activation Reveals Tissue-Imprinted Gene Profiles of Mesenchymal Stromal Cells,https://doi.org/10.3389/fimmu.2022.917790,Frontiers in Immunology,Public Works and Government Services Canada | ,0,"Abstract Development of standardized metrics to support manufacturing and regulatory 
approval of mesenchymal stromal cell (MSC) products is confounded by heterogeneity of MSC ...",0,1,0,0,0,0,0,1
0,No,Hyeree Park,Hyeree Park,"Department of Mining and Materials Engineering, McGill University, Canada",Derek H. Rosenzweig,We appreciate your Biomaterials paper,"Good Day Dr. Park, I found your 2022 paper - ""Mechanical activation drives tenogenic differentiation of human mesenc... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ",Mechanical activation drives tenogenic differentiation of human mesenchymal stem cells in aligned dense collagen hydrogels,https://doi.org/10.1016/j.biomaterials.2022.121606,Biomaterials,Public Works and Government Services Canada | ,5,"... Human bone marrow mesenchymal stem cells (hBMMSCs; RoosterBio, USA) were purchased 
and cultured in RoosterNourish(tm)-MSC media kit (RoosterBio, USA) to proliferate up to ...",0,1,1,0,0,1,0,0
0,No,Richard Jeske,Richard Jeske,"Department of Chemical and Biomedical Engineering, FAMU-FSU College of Engineering, Florida State University, Tallahassee, FL, USA",Yan Li,We appreciate your Bioactive Materials paper,"Good Day Dr. Jeske, I found your 2022 paper - ""Upscaling human mesenchymal stromal cell production in a novel vertica... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ",Upscaling human mesenchymal stromal cell production in a novel vertical-wheel bioreactor enhances extracellular vesicle secretion and cargo profile,https://doi.org/10.1016/j.bioactmat.2022.07.004,Bioactive Materials,National Institutes of Health | Florida State University | Florida Agricultural and Mechanical University | National Science Foundation | ,4,"Human mesenchymal stromal cells (hMSCs) are mechanically sensitive undergoing 
phenotypic alterations when subjected to shear stress, cell aggregation, and substrate changes ...",0,0,0,0,1,0,0,0
0,No,Xue Dong,Xue Dong,Department of Surgery Laboratory of Bioregenerative Medicine &amp; Surgery Division of Plastic Surgery Weill Cornell Medical College  New York New York USA,Jason A. Spector,We appreciate your Journal of Tissue Engineering and Regenerative Medicine paper,"Good Day Dr. Dong, I found your 2022 paper - ""Efficient engineering of human auricular cartilage through mesenchymal... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ",Efficient engineering of human auricular cartilage through mesenchymal stem cell chaperoning,https://doi.org/10.1002/term.3332,Journal of Tissue Engineering and Regenerative Medicine,National Institutes of Health | Florida State University | Florida Agricultural and Mechanical University | National Science Foundation | ,1,"... Bone marrow-derived human mesenchymal stem cells (hMSCs) (from a 26-year-old female 
donor, RoosterBio, Inc.) were cultured using Rooster Nourish-MSC media (RoosterBio, Inc.), ...",0,1,1,0,0,1,0,0
0,No,Soheila Ali Akbari Ghavimi,Soheila Ali Akbari Ghavimi,"Department of Surgery, Division of Otolaryngology, Children's Hospital of Philadelphia, Philadelphia, PA, USA",Riccardo Gottardi,We appreciate your bioRxiv paper,"Good Day Dr. Ghavimi, I found your 2022 paper - ""Human cartilage progenitor cells from ear, nose, rib, and joint have a... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ","Human cartilage progenitor cells from ear, nose, rib, and joint have a robust, stable phenotype for cartilage repair",https://doi.org/10.1101/2022.06.30.498323,bioRxiv,National Institutes of Health | Florida State University | Florida Agricultural and Mechanical University | National Science Foundation | ,0,"... Bone-marrow derived mesenchymal stem cells (MSCs) (n=4 donors) were purchased 
from Roosterbio at passage 2 and expanded in Roosterbio growth media until passage 4. ...",0,1,0,0,0,1,0,0
